(38, '36665e3b-8458-42f7-b325-c9e4ec713e9f', 86, 55, '7', 'ADWARI TOWN COUNCIL', NULL, '2022-01-01 00:23:42', '2023-11-13 14:35:31'),
(39, '0942a67b-058d-4aab-b887-82f7009c4859', 88, 180, '3', 'ADWIR', NULL, '2022-01-01 00:23:42', '2023-11-13 14:35:31'),
(40, '7aec30b2-07ed-496a-846a-5c988f4ca967', 22, 54, '1', 'ADYEL', NULL, '2022-01-01 00:23:42', '2023-11-13 14:35:31'),
(41, 'c17b32bb-a0b8-40a1-bcdc-cec3b526358f', 111, 111, '16', 'AGAGO TOWN COUNCIL', NULL, '2022-01-01 00:23:42', '2023-11-13 14:35:31'),
(42, '04696b05-b2da-4480-a393-fe2d7813ec42', 22, 158, '4', 'AGALI', NULL, '2022-01-01 00:23:42', '2023-11-13 14:35:31'),
(43, '161edf66-ce42-4c46-9efa-5bb31dab257b', 111, 111, '19', 'AGENGO', NULL, '2022-01-01 00:23:42', '2023-11-13 14:35:31'),
(44, '41edf868-1224-4843-b1a1-fcfa4bfef8c8', 57, 123, '6', 'AGIKDAK', NULL, '2022-01-01 00:23:42', '2023-11-13 14:35:31'),
(45, '3aadb8b7-be5a-4b9a-a36b-0d30fb016d90', 108, 53, '8', 'AGIRIGIROI', NULL, '2022-01-01 00:23:42', '2023-11-13 14:35:31'),
(46, 'ef2e62c9-d03d-41d2-863d-22fc384b53f4', 85, 157, '1', 'AGORO', NULL, '2022-01-01 00:23:42', '2023-11-13 14:35:31'),
(47, 'b745b8b2-ad5d-48d9-a592-659fe69466f9', 35, 190, '1', 'AGULE', NULL, '2022-01-01 00:23:42', '2023-11-13 14:35:31'),
(48, 'efa5f031-c6bb-45da-b2aa-27b292da95e5', 35, 190, '5', 'AGULE TOWN COUNCIL', NULL, '2022-01-01 00:23:42', '2023-11-13 14:35:31'),
(49, 'a62a2a45-508c-4a01-bf74-9e4938c32df0', 1, 251, '3', 'AGULLU DIVISION', NULL, '2022-01-01 00:23:42', '2023-11-13 14:35:31'),
(50, '91922ddb-a8ce-488a-8d57-bc129b5a72a8', 74, 145, '12', 'AGWATA TOWN COUNCIL', NULL, '2022-01-01 00:23:42', '2023-11-13 14:35:31'),
(51, '57bd06dd-9717-491a-a9c8-5a478ad48ec6', 74, 145, '1', 'AGWATTA', NULL, '2022-01-01 00:23:42', '2023-11-13 14:35:31'),
(52, '0845841b-c8ab-4977-a4a5-0ad2277d4716', 22, 158, '4', 'AGWENG', NULL, '2022-01-01 00:23:42', '2023-11-13 14:35:31'),
(53, '91adfad2-3236-4ea6-8e2d-5dee688f4cdc', 22, 158, '5', 'AGWENG TOWN COUNCIL', NULL, '2022-01-01 00:23:42', '2023-11-13 14:35:31'),
(54, '5fca2c00-65da-4d81-adea-2653d3939731', 57, 123, '7', 'AGWINGIRI', NULL, '2022-01-01 00:23:42', '2023-11-13 14:35:31'),
(55, '8ba39d43-cccc-4f53-a7fc-2843ea1041cf', 2, 149, '1', 'AII-VU/AJIVU', NULL, '2022-01-01 00:23:42', '2023-11-13 14:35:31'),
(56, '1bf7fb4a-5af5-4e68-8fd0-bdaedf359afe', 111, 111, '20', 'AJALI', NULL, '2022-01-01 00:23:42', '2023-11-13 14:35:31'),
(57, 'bcde46a4-594c-47e0-9704-6390b8053c3b', 50, 199, '7', 'AJAN', NULL, '2022-01-01 00:23:42', '2023-11-13 14:35:31'),
(58, '97ec5180-9ef3-40a9-bfc5-b85f7f496dea', 2, 7, '1', 'AJIA', NULL, '2022-01-01 00:23:42', '2023-11-13 14:35:31'),
(59, '51ea98a4-a62b-4881-b778-eceda58d8f44', 77, 228, '1', 'AJIRA', NULL, '2022-01-01 00:23:42', '2023-11-13 14:35:31'),
(60, 'e1cba975-e931-4c20-8619-16745381f5aa', 87, 231, '4', 'AKAA', NULL, '2022-01-01 00:23:42', '2023-11-13 14:35:31'),
(61, '63c8f005-ac4f-43cd-a6ca-f517e82e0377', 39, 237, '4', 'AKADOT', NULL, '2022-01-01 00:23:42', '2023-11-13 14:35:31'),
(62, 'dd75e3e3-eb0c-4be0-8ba7-747229272177', 127, 2, '9', 'AKALI', NULL, '2022-01-01 00:23:42', '2023-11-13 14:35:31'),
(63, '890adfe2-c2ca-40fd-bb0d-e41aa5988ff8', 103, 1, '2', 'AKALO', NULL, '2022-01-01 00:23:42', '2023-11-13 14:35:31'),
(64, '379292d1-cdd8-41e4-8b1e-da0930751829', 103, 1, '9', 'AKALO TOWN COUNCIL', NULL, '2022-01-01 00:23:42', '2023-11-13 14:35:31'),
(65, 'eb493607-9672-482a-9ebf-567bd68fe028', 65, 134, '12', 'AKAYANJA', NULL, '2022-01-01 00:23:42', '2023-11-13 14:35:31'),
(66, '0d3225e5-d055-4ec6-99e1-a0b77f9aecf0', 1, 251, '2', 'AKERE DIVISION', NULL, '2022-01-01 00:23:43', '2023-11-13 14:35:31'),
(67, '827c2e46-76c4-4caa-8f52-69ccea1cef94', 58, 232, '8', 'AKERIAU', NULL, '2022-01-01 00:23:43', '2023-11-13 14:35:31'),
(68, '6f42afaa-d8d4-4df3-946f-906d773048d0', 115, 17, '2', 'AKIDI', NULL, '2022-01-01 00:23:43', '2023-11-13 14:35:31'),
(69, '5de38bbe-b498-4bd5-920b-d2b9bb334a96', 35, 190, '10', 'AKISIM', NULL, '2022-01-01 00:23:43', '2023-11-13 14:35:31'),
(70, 'cb68f0ff-3611-4bf2-b369-b2ee131068d5', 43, 101, '1', 'AKOBOI', NULL, '2022-01-01 00:23:43', '2023-11-13 14:35:31'),
(71, 'b3feb4c8-25de-4f86-af77-e272db6d91a8', 1, 3, '1', 'AKOKORO', NULL, '2022-01-01 00:23:43', '2023-11-13 14:35:31'),
(72, '2f1479b1-782c-4817-af33-7a8bb89d024c', 1, 3, '9', 'AKOKORO TOWN COUNCIL', NULL, '2022-01-01 00:23:43', '2023-11-13 14:35:31'),
(73, '3fb3d075-1034-405f-98b9-8ecbf2a79e95', 124, 125, '4', 'AKOROMIT', NULL, '2022-01-01 00:23:43', '2023-11-13 14:35:31'),
(74, '8942fdcb-2f6d-426a-b33b-3c9d14839ac9', 88, 160, '7', 'AKURA', NULL, '2022-01-01 00:23:43', '2023-11-13 14:35:31'),
(75, '11d4572a-3a94-4de1-9f45-2d6579f30c8d', 19, 50, '9', 'AKWANG', NULL, '2022-01-01 00:23:43', '2023-11-13 14:35:31'),
(76, '56381d74-9884-4641-94ad-c4a2e61841de', 57, 123, '8', 'AKWON', NULL, '2022-01-01 00:23:43', '2023-11-13 14:35:31'),
(77, 'b1f1de32-9b00-48bc-8f53-2c9ba1a2ee3f', 33, 81, '1', 'AKWORO', NULL, '2022-01-01 00:23:43', '2023-11-13 14:35:31'),
(78, 'a34d4c91-2548-477e-a77f-d6d26f7108f0', 33, 81, '12', 'ALALA', NULL, '2022-01-01 00:23:43', '2023-11-13 14:35:31'),
(79, 'b2af264e-5527-4b2b-a357-34d374bed76a', 87, 231, '2', 'ALANGI', NULL, '2022-01-01 00:23:43', '2023-11-13 14:35:31'),
(80, '9ea4775b-1a79-4154-808c-64d3d310c63c', 88, 160, '2', 'ALEBTONG TOWN COUNCIL', NULL, '2022-01-01 00:23:43', '2023-11-13 14:35:31'),
(81, 'e4540276-9c79-4e51-a355-c29fbbf80e55', 76, 147, '6', 'ALEKA', NULL, '2022-01-01 00:23:43', '2023-11-13 14:35:31'),
(82, '533e3a23-40db-4cc3-99fb-8f09d31125b9', 70, 140, '2', 'ALEREK', NULL, '2022-01-01 00:23:43', '2023-11-13 14:35:31'),
(83, 'c621d7cc-6dd0-4581-b0f8-a4632a3140c3', 110, 142, '1', 'ALERO', NULL, '2022-01-01 00:23:43', '2023-11-13 14:35:31'),
(84, 'de0b6502-54c7-4337-9296-988b03949475', 134, 72, '1', 'ALIBA', NULL, '2022-01-01 00:23:43', '2023-11-13 14:35:31'),
(85, 'ac85beb0-5dd4-4114-b357-65256f727d85', 79, 213, '1', 'ALIGOI', NULL, '2022-01-01 00:23:43', '2023-11-13 14:35:31'),
(86, 'ed874aa6-5b4f-47c2-bc96-e1ead6516294', 77, 228, '6', 'ALIKUA', NULL, '2022-01-01 00:23:43', '2023-11-13 14:35:31'),
(87, '478a93b2-b76e-4d51-a0a7-355f309164f7', 103, 223, '3', 'ALITO', NULL, '2022-01-01 00:23:43', '2023-11-13 14:35:31'),
(88, '76a2d28a-2834-4124-978e-16b11804b59d', 124, 125, '7', 'ALITO', NULL, '2022-01-01 00:23:43', '2023-11-13 14:35:31'),
(89, 'f927449a-c6ca-4ffc-b570-7c3860ba5530', 103, 223, '5', 'ALITO TOWN COUNCIL', NULL, '2022-01-01 00:23:43', '2023-11-13 14:35:31'),
(90, '241bb1bf-32f6-441c-9200-df6b60dfdf1e', 88, 160, '3', 'ALOI', NULL, '2022-01-01 00:23:43', '2023-11-13 14:35:31'),
(91, 'e4412c67-6816-4d5c-93b3-7d50ead92747', 88, 160, '8', 'ALOI TOWN COUNCIL', NULL, '2022-01-01 00:23:43', '2023-11-13 14:35:31'),
(92, '508dd847-89a4-4dea-ab38-89e5409d6b7a', 29, 73, '8', 'ALURU', NULL, '2022-01-01 00:23:44', '2023-11-13 14:35:31'),
